RED_DARK_2,550000
RED_DARK,NamedTextColor.DARK_RED
RED,ff0000
RED_LIGHT,NamedTextColor.RED
RED_LIGHT_2,ffaaaa
RED_LIGHT_3,ffd4d4

ORANGE_DARK,d42a00
ORANGE,ff5500
ORANGE_LIGHT,ff7f55
ORANGE_LIGHT_2,ffaa7f

GOLD_DARK_2,7f2a00
GOLD_DARK,aa5500
GOLD,NamedTextColor.GOLD
GOLD_LIGHT,ffd47f

MUSTARD_DARK_2,aa7f00
MUSTARD_DARK,d4aa2a
MUSTARD,ffd42a

YELLOW_DARK_3,7f7f2a
YELLOW_DARK_2,aaaa55
YELLOW_DARK,d4d455
YELLOW,NamedTextColor.YELLOW
YELLOW_LIGHT,ffffaa
YELLOW_LIGHT_2,ffffd4

LIME_DARK_2,55aa00
LIME_DARK,7fd42a
LIME,aaff55

GREEN_DARK_4,005500
GREEN_DARK_3,2a7f00
GREEN_DARK_2,NamedTextColor.DARK_GREEN
GREEN_DARK,2ad42a
GREEN,NamedTextColor.GREEN
GREEN_LIGHT,7fff7f
GREEN_LIGHT_2,aaffaa
GREEN_LIGHT_3,d4ffd4

TEAL_DARK,00d4aa
TEAL,2affaa
TEAL_LIGHT,7fffd4

AQUA_DARK_3,005555
AQUA_DARK_2,007f7f
AQUA_DARK,NamedTextColor.DARK_AQUA
AQUA,2ad4d4
AQUA_LIGHT,NamedTextColor.AQUA
AQUA_LIGHT_2,aaffff
AQUA_LIGHT_3,d4ffff

SKY_DARK,2a70d4
SKY,55aaff
SKY_LIGHT,aad4ff

BLUE_DARK_3,000055
BLUE_DARK_2,NamedTextColor.DARK_BLUE
BLUE_DARK,5500ff
BLUE,NamedTextColor.BLUE
BLUE_LIGHT,7070ff
BLUE_LIGHT_2,aaaaff
BLUE_LIGHT_3,d4d4ff

PURPLE_DARK_3,2a007f
PURPLE_DARK_2,5500aa
PURPLE_DARK,7f2ad4
PURPLE,aa55ff
PURPLE_LIGHT,aa7fff
PURPLE_LIGHT_2,d4aaff

MAGENTA_DARK_3,550055
MAGENTA_DARK_2,7f007f
MAGENTA_DARK,NamedTextColor.DARK_PURPLE
MAGENTA,d42ad4
MAGENTA_LIGHT,NamedTextColor.LIGHT_PURPLE
MAGENTA_LIGHT_2,ffaaff
MAGENTA_LIGHT_3,ffd4ff

PINK_DARK_2,d5007f
PINK_DARK,ff00aa
PINK,ff55aa
PINK_LIGHT,ff7fd4

ROSE_DARK_2,ff0055
ROSE_DARK,ff557f
ROSE,ff7faa
ROSE_LIGHT,ffaad4

BROWN_DARK_2,552a00
BROWN_DARK,80552a
BROWN,aa8055
BROWN_LIGHT,d4aa80
BROWN_LIGHT_2,ffd4aa

BLACK,NamedTextColor.BLACK
GRAY_DARK_2,2a2a2a
GRAY_DARK,NamedTextColor.DARK_GRAY
GRAY,808080
GRAY_LIGHT,NamedTextColor.GRAY
GRAY_LIGHT_2,d4d4d4
WHITE,NamedTextColor.WHITE

GREEN_DESATURATED_TEMP,aad4aa
AQUA_DESATURATED_TEMP,55aaaa
SKY_DESATURATED_TEMP,557fd4
